filename,title,topic,difficulty,author,source
an_occurance_at_owl_creek_bridge.txt,An Occurrence at Owl Creek Bridge,War,7,Ambrose Bierce,Project Gutenberg
rikki_tikki_tavi.txt,Rikki-Tikki-Tavi,Nature,5,Rudyard Kipling,Project Gutenberg
the_cask_of_amontillado.txt,The Cask of Amontillado,Revenge,6,Edgar Allan Poe,Project Gutenberg
the_diamond_necklace.txt,The Necklace,Society,6,Guy de Maupassant,Project Gutenberg
the_gift_of_magi.txt,The Gift of the Magi,Sacrifice,5,O. Henry,Project Gutenberg
the_happy_prince.txt,The Happy Prince,Ethics,5,Oscar Wilde,Project Gutenberg
the_nightingale_and_rose.txt,The Nightingale and the Rose,Ethics,6,Oscar Wilde,Project Gutenberg
the_open_boat.txt,The Open Boat,Nature,8,Stephen Crane,Project Gutenberg
the_tell_tale_heart.txt,The Tell-Tale Heart,Psychology,6,Edgar Allan Poe,Project Gutenberg
the_yellow_wallpaper.txt,The Yellow Wallpaper,Society,7,Charlotte Perkins Gilman,Project Gutenberg
